title,description,event_type,actor,recipient,actor_id,recipient_id,location,iso3,latitude,longitude,num_sources,date_publish,source_domain,url
Gaza ceasefire talks gain momentum,"The US administration, joined by mediators from Egypt and Qatar, has made intensive recent efforts to advance the talks before Biden leaves office",CONSULT,Gaza,Biden,Q47492,Q6279,Gaza,PSE,31.50161,34.46672,1,2025-01-15 00:00:00,['bdnews24.com'],['https://bdnews24.com/world/middle-east/91b8e3ad417e']
South Korea plane crash: Jeju Air cuts flights to ‘repair trust’ as outrage grows over airport wall,Jeju Air’s passenger plane smashed into a concrete wall after an emergency landing at Muan international airport in South Korea,ASSAULT,Jeju Air,Muan,Q482642,,Jeju Air,KOR,37.566,126.9784,5,2024-12-31 15:36:51,"['www.aol.com', 'www.dw.com', 'www.nzherald.co.nz', 'tnp.straitstimes.com', 'www.nbcnews.com']","['https://www.aol.com/south-korea-plane-crash-latest-052149971.html', 'https://www.dw.com/en/south-korea-orders-safety-probe-after-jeju-air-plane-crash/a-71183264', 'https://www.nzherald.co.nz/world/south-korea-plane-crash-what-we-know-about-the-jeju-air-crash-that-killed-179-with-two-survivors/GHXHM5TSGZHNNF5EG3CETOIDKQ/', 'https://tnp.straitstimes.com/news/world/jeju-air-plane-crashes-upon-landing-179-presumed-dead', 'https://www.nbcnews.com/news/world/live-blog/live-updates-plane-crash-south-korea-rcna185676']"
International groups sound alarm after IDF detain director of besieged Gaza hospital,"Concerns are growing for the safety of Dr. Hussam Abu Safiyaa, the prominent of Gaza's Kamal Adwan Hospital, who was taken into Israeli custody.",MOBILIZE,IDF,,Q58967,,Gaza,PSE,31.50161,34.46672,1,2024-12-31 10:41:02,['www.aol.com'],['https://www.aol.com/concerns-grow-israeli-forces-detain-183218300.html']
Explicit video of Fiji Minister leaked to PM,"A video of a former cabinet minister in Fiji dancing naked was hacked by someone in government close to the Prime Minister, claims a veteran political activist.",COERCE,Fiji,,Q712,,Fiji,FJI,-18.13683,178.42531,1,2024-12-31 10:40:03,['www.rnz.co.nz'],['https://www.rnz.co.nz/international/pacific-news/537872/explicit-video-of-fiji-minister-leaked-to-pm']
Ukraine says it brings home 189 POWs in swap with Russia,"KYIV: Ukraine and Russia have carried out a new exchange of prisoners of war, with Kyiv bringing home 189 former captives, President Volodymyr Zelenskyy said on Monday (Dec 30).",RETREAT,Ukraine,Kyiv,Q212,Q1899,Russia,RUS,55.75222,37.61556,4,2024-12-31 10:38:44,"['www.rnz.co.nz', 'www.voanews.com', 'www.cbc.ca', 'www.channelnewsasia.com']","['https://www.rnz.co.nz/news/world/537905/scores-of-ukrainian-and-russian-pows-back-home-after-swap', 'https://www.voanews.com/a/scores-of-ukrainian-and-russian-prisoners-head-back-home-after-swap-/7919089.html', 'https://www.cbc.ca/news/world/ukraine-russia-pow-swap-1.7420254', 'https://www.channelnewsasia.com/world/ukraine-says-it-brings-home-189-pows-swap-russia-4831821']"
South Korea orders airline safety probe after worst domestic crash kills 179,Acting president Choi Sang-mok has ordered an emergency inspection for South Korea's entire airline operations.,ASSAULT,Choi Sang - mok,South Korea,,Q884,MUAN,KOR,34.99014,126.47899,2,2024-12-31 09:17:35,"['www.rnz.co.nz', 'www.asahi.com']","['https://www.rnz.co.nz/news/world/537897/south-korea-orders-airline-safety-probe-after-worst-domestic-crash-kills-179', 'https://www.asahi.com/ajw/articles/15570786']"
Details released for funeral of former US President Jimmy Carter,"A state funeral will be held on 9 January, the New York Times is reporting.",CONCEDE,Washington,US,Q25301,Q30,US,,,,2,2024-12-31 07:00:53,"['www.rnz.co.nz', 'www.dw.com']","['https://www.rnz.co.nz/news/world/537887/details-released-for-funeral-of-former-us-president-jimmy-carter', 'https://www.dw.com/en/washington-funeral-to-honor-jimmy-carter/a-71188105']"
"Ceasefire between Turkey and US-backed SDF in northern Syria holding, Pentagon says",Washington brokered an initial ceasefire when fighting broke out after rebel groups overthrew the rule of Bashar al-Assad. Read more at straitstimes.com.,CONCEDE,Washington,,Q25301,,SDF,,,,1,2024-12-31 03:51:02,['www.straitstimes.com'],['https://www.straitstimes.com/world/middle-east/ceasefire-between-turkey-and-us-backed-sdf-in-northern-syria-holding-pentagon-says']
《TAIPEI TIMES》 DPP urges swift transfer of approved bill changes,"DELAY TACTICS: The KMT is trying to obstruct recalls, the DPP said, adding that it would file a judicial complaint if the three bills are not sent to the executive branch soonBy Hsieh Chun-lin / Staff reporter, with CNA",SANCTION,DPP,DELAY TACTICS,Q452223,,Hsieh Chun - lin,,,,1,2024-12-31 03:00:00,['news.ltn.com.tw'],['https://news.ltn.com.tw/news/focus/breakingnews/4908918']
Man charged during police operation after attempted home invasion in Sydney's south-west,A man has been charged following an attempted home invasion that triggered a police operation in Sydney's south-west.,ASSAULT,Sydney,,Q3130,,Sydney,AUS,-33.86785,151.20732,1,2024-12-30 23:07:00,['www.abc.net.au'],['https://www.abc.net.au/news/2024-12-31/nsw-varroville-police-operation-sydney-attempted-home-invasion/104773600']
US Treasury suffers major cyber attack by China backed hackers,Hackers compromised a third-party cybersecurity service provider and accessed Treasury workstations and some unclassified documents.,COERCE,China,,Q148,,China,CHN,39.9075,116.39723,1,2024-12-30 22:31:39,['www.thejournal.ie'],['https://www.thejournal.ie/us-treasury-suffers-major-cyber-attack-by-china-backed-hackers-6583353-Dec2024/']
Factbox-Important dates to watch as Republicans take control in the US Congress,"WASHINGTON (Reuters) -January brings several consequential dates for the U.S. Congress as Republicans consolidate power as a result of last November's elections with full control of the Senate, House of Representatives and White House. The 119th Congress convenes with new members being sworn in. Republicans hold a narrow majority of 219-215 in the House.",CONSULT,INGTON,U,,Q9747,U,,,,1,2024-12-30 22:24:16,['www.aol.com'],['https://www.aol.com/factbox-important-days-ahead-us-202621921.html']
"Windsor man's statements to police about joining neo-Nazi group are admissible as evidence, judge rules",A Windsor man is facing a charge of terrorism for his alleged attempt to join a far-right hate group. A judge has ruled Seth Bertrand's recorded conversations with officers are admissible in court.,COERCE,Windsor,,,,Windsor,CAN,42.30008,-83.01654,1,2024-12-30 22:14:00,['www.cbc.ca'],['https://www.cbc.ca/news/canada/windsor/windsor-terrorism-seth-bertrand-far-right-1.7420091']
Germany accuses Elon Musk of election interference with AfD support,"Germany’s government on Monday accused Elon Musk of trying to influence the country’s upcoming election, set for February, after he wrote an opinion piece...",ASSAULT,Germany,Elon Musk,Q183,Q317521,Elon Musk,,,,1,2024-12-30 21:28:48,['www.nzherald.co.nz'],['https://www.nzherald.co.nz/world/germany-accuses-elon-musk-of-election-interference-with-afd-support/ONQYX4ENBJC6ZFKSIYKKHCE2BE/']
UN experts demand accountability from Israel over Gaza actions,United Nations human rights experts have called for Israel to face consequences for what they describe as “inflicting maximum suffering” on Palestinian,SANCTION,Israel,Palestinian,Q801,,Palestinian,ISR,31.76904,35.21633,1,2024-12-30 21:16:41,['dailypost.ng'],['https://dailypost.ng/2024/12/30/un-experts-demand-accountability-from-israel-over-gaza-actions/']
IDF soldier killed in Gaza,"An Israel Defense Forces, IDF, soldier, Sgt. Uriel Peretz, 23, was killed, and eight others were wounded during operations in northern Gaza on Monday. The",ASSAULT,Gaza,,Q47492,,Gaza,PSE,31.50161,34.46672,1,2024-12-30 20:51:49,['dailypost.ng'],['https://dailypost.ng/2024/12/30/idf-soldier-killed-in-gaza/']
"Gunmen kill five security operatives, two others in Anambra",Gunmen operating in Ihiala Local Government Area of Anambra State have killed seven people. The incident happened on Monday. DAILY POST learnt that out of,ASSAULT,Ihiala Government Area,Anambra,,Q117714,Anambra,NGA,5.85475,6.85944,1,2024-12-30 20:28:53,['dailypost.ng'],['https://dailypost.ng/2024/12/30/gunmen-kill-five-security-operatives-two-others-in-anambra/']
