Country,Time Period,ISO_3166-3
Morocco,1997-01-01,MAR
Mozambique,1997-01-01,MOZ
Namibia,1997-01-01,NAM
Niger,1997-01-01,NER
Nigeria,1997-01-01,NGA
Reunion,2020-01-01,REU
Rwanda,1997-01-01,RWA
"Saint Helena, Ascension and Tristan da Cunha",2020-01-01,SHN
Sao Tome and Principe,2020-01-01,STP
Senegal,1997-01-01,SEN
Seychelles,2020-01-01,SYC
Sierra Leone,1997-01-01,SLE
Somalia,1997-01-01,SOM
South Africa,1997-01-01,ZAF
South Sudan,2011-01-01,SSD
Sudan,1997-01-01,SDN
Tanzania,1997-01-01,TZA
Togo,1997-01-01,TGO
Tunisia,1997-01-01,TUN
Uganda,1997-01-01,UGA
Zambia,1997-01-01,ZMB
Zimbabwe,1997-01-01,ZWE
Puerto Rico,2018-01-01,PRI
Guadeloupe,2018-01-01,GLP
Martinique,2018-01-01,MTQ
French Guiana,2018-01-01,GUF
Curacao,2018-01-01,CUW
Aruba,2018-01-01,ABW
"Virgin Islands, U.S.",2018-01-01,VIR
Cayman Islands,2018-01-01,CYM
Sint Maarten,2018-01-01,SXM
Turks and Caicos Islands,2018-01-01,TCA
British Virgin Islands,2018-01-01,VGB
Caribbean Netherlands,2018-01-01,BES
Anguilla,2018-01-01,AIA
Montserrat,2018-01-01,MSR
Falkland Islands,2018-01-01,FLK
Brazil,2018-01-01,BRA
Mexico,2018-01-01,MEX
Colombia,2018-01-01,COL
Argentina,2018-01-01,ARG
Peru,2018-01-01,PER
Venezuela,2018-01-01,VEN
Chile,2018-01-01,CHL
Guatemala,2018-01-01,GTM
Ecuador,2018-01-01,ECU
Cuba,2018-01-01,CUB
Bolivia,2018-01-01,BOL
Haiti,2018-01-01,HTI
Dominican Republic,2018-01-01,DOM
Honduras,2018-01-01,HND
Paraguay,2018-01-01,PRY
El Salvador,2018-01-01,SLV
Nicaragua,2018-01-01,NIC
Costa Rica,2018-01-01,CRI
Panama,2018-01-01,PAN
Uruguay,2018-01-01,URY
Jamaica,2018-01-01,JAM
Trinidad and Tobago,2018-01-01,TTO
Guyana,2018-01-01,GUY
Suriname,2018-01-01,SUR
Bahamas,2018-01-01,BHS
Belize,2018-01-01,BLZ
Barbados,2018-01-01,BRB
Saint Lucia,2018-01-01,LCA
Saint Vincent and the Grenadines,2018-01-01,VCT
Grenada,2018-01-01,GRD
Antigua and Barbuda,2018-01-01,ATG
Dominica,2018-01-01,DMA
Saint-Barthelemy,2018-01-01,BLM
Saint-Martin,2018-01-01,MAF
Saint Kitts and Nevis,2018-01-01,KNA
South Georgia and the South Sandwich Islands,2018-01-01,SGS
Canada,2021-01-01,CAN
Bermuda,2021-01-01,BMU
Saint Pierre and Miquelon,2021-01-01,SPM
United States,2020-01-01,USA
Australia,2021-01-01,AUS
New Zealand,2021-01-01,NZL
Fiji,2021-01-01,FJI
New Caledonia,2021-01-01,NCL
Vanuatu,2021-01-01,VUT
Solomon Islands,2021-01-01,SLB
Papua New Guinea,2021-01-01,PNG
Micronesia,2021-01-01,FSM
Guam,2021-01-01,GUM
Nauru,2021-01-01,NRU
Marshall Islands,2021-01-01,MHL
Kiribati,2021-01-01,KIR
Palau,2021-01-01,PLW
Northern Mariana Islands,2021-01-01,MNP
American Samoa,2021-01-01,ASM
Cook Islands,2021-01-01,COK
French Polynesia,2021-01-01,PYF
Norfolk Island,2021-01-01,NFK
Niue,2021-01-01,NIU
Samoa,2021-01-01,WSM
Tonga,2021-01-01,TON
Tokelau,2021-01-01,TKL
Tuvalu,2021-01-01,TUV
Pitcairn,2021-01-01,PCN
Wallis and Futuna,2021-01-01,WLF
Heard Island and McDonald Islands,2021-01-01,HMD
Cocos (Keeling) Islands,2021-01-01,CCK
Christmas Island,2021-01-01,CXR
United States Minor Outlying Islands,2021-01-01,UMI
Antarctica,2021-01-01,ATA
