ISO_3,year,Prevalence of anemia among women of reproductive age (% of women ages 15-49),Women's share of population ages 15+ living with HIV (%),"Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)",People using at least basic drinking water services (% of population),"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),"Immunization, HepB3 (% of one-year-old children)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Hospital beds (per 1,000 people)",People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),People with basic handwashing facilities including soap and water (% of population),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)",People using safely managed sanitation services (% of population),Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Life expectancy at birth, total (years)"
GRD,2007,20.7,,,14.4,7.8,94.9338425963011,,,96.0,96.0,98.0,2.6,91.7055116252743,98.8,,29.0,2.7712328767123,0.1,,5.23867893,,48.585,74.317
GRD,2008,20.2,,,14.4,7.9,95.1661575658695,,,99.0,99.0,99.0,2.6,91.9708821917809,,,29.0,2.89954337899542,0.0,,5.386199,,47.759,74.656
GRD,2009,19.8,,,14.4,8.2,95.398472535438,,,99.0,99.0,98.0,2.4,92.2320455049805,100.0,,27.0,3.02785388127853,0.4,,5.43471003,,46.762,75.036
GRD,2010,19.6,,,14.5,8.4,95.6307875050065,,,97.0,97.0,95.0,,92.4890015648732,,,27.0,3.15616438356165,0.4,,5.4188118,,45.458,74.999
GRD,2011,19.2,,,14.5,8.7,95.8631024745749,,,94.0,95.0,95.0,3.29,92.1572984211554,100.0,,27.0,3.28447488584476,0.5,,5.80423355,,44.229,75.295
GRD,2012,18.9,,,14.7,9.0,95.9713888869245,,,97.0,97.0,94.0,3.26,91.8255952774375,99.0,,26.0,3.41278538812782,0.1,,5.82235765,,42.821,75.042
GRD,2013,18.8,,,14.8,9.3,95.6286504435547,,,97.0,97.0,94.0,3.45,91.4938921337197,99.0,,25.0,3.54109589041093,0.0,,5.62652922,,41.09,75.116
GRD,2014,18.7,,,14.9,9.5,95.6286504435547,,,97.0,97.0,94.0,3.42,91.4938921337197,99.0,,24.0,3.54109589041093,0.5,,4.77353573,,37.647,74.985
GRD,2015,18.7,,,15.0,9.6,95.6286504435547,,,92.0,92.0,99.0,3.4,91.4938921337197,99.0,,23.0,3.54109589041093,0.3,,4.64675617,,35.822,75.013
GRD,2016,18.8,,,15.1,9.7,95.6286504435547,,,96.0,96.0,95.0,3.2,91.4938921337197,99.3,,23.0,3.54109589041093,0.3,,4.43910027,,33.887,74.762
GRD,2017,18.8,,,15.3,9.8,95.6286504435547,,,96.0,96.0,85.0,3.18,91.4938921337197,100.0,,24.0,3.54109589041093,0.0,,4.65701056,,28.958,74.765
GRD,2018,19.0,,,15.5,9.9,,,,95.0,95.0,84.0,3.18,,,,21.0,,0.0,,4.58373737,,31.136,74.808
GRD,2019,19.2,,,15.7,10.0,,,,94.0,94.0,94.0,,,,,20.0,,0.1,,4.93189621,,31.587,74.863
GRD,2020,,,,15.9,10.1,,,,72.0,72.0,83.0,,,,,21.0,,,,5.55900049,,30.369,74.924
GRD,2021,,,,16.0,10.1,,,,77.0,77.0,70.0,,,,,,,,,5.6984539,,29.652,74.936
GRD,2022,,,,16.0,10.1,,,,77.0,77.0,76.0,,,,,,,,,,,29.357,75.335
GRD,2023,,,,,,,,,86.0,86.0,82.0,,,,,,,,,,,,
GIN,1997,,58.0794025434178,1.5,186.3,54.2,,2.21,,,47.0,56.0,,,,,,,,,,,162.988,51.356
GIN,1998,,58.3672202897131,1.6,179.5,51.7,,2.21,,,56.0,52.0,,,,,,,,,,,153.458,52.049
GIN,1999,,58.678397834246,1.6,172.6,49.1,,2.16,,,43.0,40.0,,,34.8,,,,,,,,155.661,52.356
GIN,2000,52.4,59.0796387035834,1.7,165.6,46.6,50.020186832808,2.09,0.0,,46.0,42.0,,9.16230647249202,,,971.0,28.7270268450208,2.5,,4.74825478,,151.173,52.479
GIN,2001,52.5,59.764514819326,1.7,158.9,44.4,50.7276864760054,2.09,0.0,,50.0,44.0,,9.88629181042133,,,943.0,27.6731162505613,2.4,,4.89139318,17.9,146.167,52.662
GIN,2002,52.6,59.9443418918163,1.7,152.6,42.9,51.4339895582937,1.96,0.0,,53.0,46.0,,10.6114420869886,,,929.0,26.6261131915836,2.7,,5.36402321,17.7,147.271,53.278
GIN,2003,52.7,60.1126193520307,1.7,146.7,41.7,52.1394322323383,1.86,0.0,,57.0,48.0,,11.3379453382088,48.7,,916.0,25.5857043016573,2.7,,4.78055525,16.8,143.04,53.678
GIN,2004,52.7,60.3332355059897,1.7,141.5,40.7,52.8436497237526,1.81,1.0,,60.0,50.0,,12.2068743325124,,,887.0,24.5523062591409,2.8,,4.78467607,16.3,138.322,54.117
GIN,2005,52.6,60.5773147114083,1.7,136.9,39.7,53.5466363484531,1.76,1.0,,59.0,51.0,0.3,13.095035144878,38.0,,846.0,23.5259620842628,2.7,,4.04512262,16.3,138.1,54.632
GIN,2006,52.5,60.684693943092,1.7,132.9,38.7,54.2487288694591,1.67,7.0,,57.0,51.0,,14.0026335732946,,,817.0,22.5063951880463,2.7,,3.61521959,16.8,138.735,55.108
GIN,2007,52.3,60.7048711317667,1.7,129.6,37.9,54.949564360494,1.63,26.0,57.0,63.0,57.0,,14.9294877692958,46.1,,764.0,21.4939871107323,2.7,,3.46627593,17.2,139.395,55.553
GIN,2008,52.1,60.7005118005191,1.7,126.7,37.3,55.649134013916,1.58,27.0,57.0,60.0,55.0,,15.8756067228174,46.1,,737.0,20.4887762504124,2.7,,3.26562262,17.7,142.485,56.044
GIN,2009,51.8,60.6801587115254,1.7,124.1,36.8,56.3474311162569,1.44,14.0,57.0,57.0,53.0,,16.841000124284,,,744.0,19.490801565114,2.6,,3.58147597,18.1,143.059,56.348
GIN,2010,51.4,60.6633352596571,1.7,121.7,36.4,57.044784449947,1.36,19.0,64.0,64.0,58.0,,17.8258881812328,,,741.0,18.4998440624941,2.7,,3.42782617,17.4,144.497,56.72
GIN,2011,51.2,60.6660390164868,1.7,119.6,36.0,58.1818372265033,1.31,34.0,63.0,63.0,62.0,0.3,18.8300747464885,,,744.0,17.5162309690732,2.7,,3.78955102,16.2,141.49,57.019
GIN,2012,50.9,60.8536430027174,1.7,117.5,35.4,59.3282131204165,1.24,34.0,57.0,57.0,58.0,,19.8535692875928,45.3,,679.0,16.5399974390156,2.7,,3.50398517,14.5,138.242,57.406
GIN,2013,50.6,61.2902225484014,1.7,115.5,34.8,60.4838781029167,1.17,67.0,50.0,50.0,54.0,,20.8963805793729,,,677.0,15.5711866724203,2.8,,3.46108699,13.3,136.008,57.791
GIN,2014,50.3,61.7760812199102,1.7,114.2,34.3,61.6487943410555,1.17,0.0,44.0,44.0,50.0,,21.9585172286295,,20.0677786961767,661.0,14.6098374521704,2.8,,4.787992,12.8,133.031,57.886
GIN,2015,49.9,62.2796663519043,1.6,112.4,33.8,62.8272632655667,1.11,0.0,47.0,47.0,47.0,,23.0429536885135,,20.1289847850472,649.0,13.6534885215783,2.9,,5.80919266,12.8,129.659,58.134
GIN,2016,49.5,62.8098695995531,1.6,109.9,33.4,64.0192375398868,1.06,0.0,47.0,47.0,47.0,,24.1498388471999,62.7,20.1930017053125,626.0,12.702696307559,2.8,,5.39694929,13.2,126.677,58.763
GIN,2017,49.0,63.2443047176669,1.6,108.0,33.0,65.2246521781626,1.01,0.0,47.0,47.0,47.0,,25.2793160046836,,20.2598264390628,572.0,11.7580145432157,2.7,,3.91512918,13.2,126.32,59.109
GIN,2018,48.5,63.5628842307977,1.6,105.9,32.7,66.4434556659708,0.99,0.0,47.0,47.0,47.0,,26.4315350914217,55.3,20.3294617247301,568.0,10.8199993826649,2.7,,3.73843002,12.6,126.102,59.349
GIN,2019,48.0,64.0595428737808,1.5,103.7,32.2,67.6752472334276,0.91,53.0,47.0,47.0,47.0,,27.606397594017,,20.4017047132877,556.0,9.88934521256624,2.3,,4.08876228,11.7,126.258,59.72
GIN,2020,,64.5849944008959,1.5,101.2,31.9,68.9206309644388,0.79,58.0,47.0,47.0,47.0,,28.8045337728005,,20.4769590168551,553.0,8.96631512175944,,,3.876436,10.4,125.054,59.327
GIN,2021,,65.057848614016,1.5,98.7,31.5,70.179197632542,0.74,61.0,47.0,47.0,47.0,,30.0258480711338,,20.5550218479716,,8.05161625834966,,,3.75556707,9.9,122.721,58.892
GIN,2022,,65.4683411826269,1.4,96.0,31.0,71.4512116094591,0.63,56.0,47.0,47.0,47.0,,31.2707417142027,,20.6360953235589,,7.14570601210631,,,,10.3,120.438,58.985
GIN,2023,,,,,,,,,47.0,47.0,47.0,,,,,,,,,,,,
CSS,1997,,50.79231328626,0.888368603648123,33.0314815115016,18.1452639940344,,1.32247353748352,,0.0,88.6074015892778,86.2221646598762,,,,,,,,,,,86.1439717310564,68.0002541797462
CSS,1998,,50.0484278848039,0.915242240461054,32.2764055512467,17.8752982722487,,1.35848665162755,,1.39234884425154,90.7663520742909,90.6894704081289,,,,,,,,,,,83.571838705177,68.1689945501398
CSS,1999,,49.1212814015296,0.989672890247233,31.4782983514545,17.6331103903742,,1.3975935518559,,1.41229203069209,85.9145922493184,87.3101454413465,,,,,,,,,,,81.6777098507498,68.3260491840518
CSS,2000,29.2141813495054,48.2742866318537,1.03825086351422,30.6417204264566,17.3163401466793,91.6970943805676,1.4264833635089,,10.4587648930409,86.8078966964527,89.4133665041971,,80.9856526398298,87.0966762525044,,155.0,3.71977729933317,0.326919573345342,,4.31248560185463,,80.4894865117479,68.529433328845
CSS,2001,28.4486615040004,47.2812172577087,1.0888045466519,29.8475233580654,17.1017140697994,91.9609433341912,1.42112008033049,,50.2103675213675,86.816358974359,91.1111452991453,3.29059774680699,81.4798096267947,,,153.0,3.60848499104458,0.317665245256963,,4.34714564113012,7.57017410721176,79.0247062117648,68.6723298562476
CSS,2002,27.700196505606,46.1090835446821,1.1355779275711,29.2155680347084,16.9174923900493,92.2268944797021,1.45158869296037,,62.8093523604285,87.1844279169185,89.2199066165585,,81.9740406234713,,,142.0,3.49429256115433,0.299109119195397,,4.45665043442057,7.33094164644147,76.41030228125,68.7952478181172
CSS,2003,27.179364518944,45.3429288163019,1.18502684035693,28.5629743169302,16.7359919439642,92.5180181347348,1.47239546626408,,68.2716623213162,88.8733794839522,87.0548413197878,,82.4628104697472,,,142.0,3.3782261600357,0.336087172107513,,4.67197742883847,7.20483712425085,73.1817862615017,68.8269827831261
CSS,2004,26.6115892345691,44.837760001634,1.2219698369625,27.9176503410911,16.5397051676656,92.8130003320708,1.41260230554555,,71.4887354416977,91.2902177415642,90.4494959259771,,82.963801161711,,,137.0,3.25063915466024,0.294738657939681,,4.78929249227048,7.01732186972127,70.8855850240437,69.1703654222798
CSS,2005,26.0401787797206,44.5761893875453,1.28313802215147,27.2388683398589,16.2252801183624,93.1074771830356,1.3307508217052,,90.0963592803119,92.0999107436464,92.4698172593602,3.35400826869548,83.5262321025027,,,127.0,3.12506263481307,0.225591114185415,,4.70912140793128,6.91276613952896,69.5668585669171,69.5151852427645
CSS,2006,25.4674434238853,44.4458765732622,1.34346420788158,26.8111341235645,16.0763097065296,93.4050497914731,1.27279879745677,,89.7464997576207,91.4289068217894,91.0071478133584,3.08453700387411,84.0883795458886,,,127.0,2.99945104516604,0.216312918059415,,4.84120040361601,6.52543013838687,68.4206252555612,69.933254888585
CSS,2007,24.8477325777831,44.3934750261966,1.37892768274032,26.2228182308021,15.7742461121124,93.706151267386,1.21668257033161,,92.6121365745814,92.9296924880169,92.4458971402434,2.43515162816078,84.6510070364955,,,121.0,2.87278314122224,0.184026761548203,,4.84732209410018,6.77314101735914,67.8342128320162,70.3347302275271
CSS,2008,24.2421133539531,44.5198562626809,1.3636384241148,25.5809030991965,15.4651238567779,94.0099044440335,1.15304726108518,,91.1693812310874,91.7379504643375,93.3293808516491,,85.2131061729018,,,112.0,2.74519538091509,0.23314819546116,,5.00568661771582,6.6396441247789,66.8364853324042,70.6071210873963
CSS,2009,23.5706579222286,44.6867413827794,1.39805473668372,25.0368578032958,15.2643072850645,94.4364973641922,1.07774469015044,,94.7999152542373,94.9452919020716,95.3081638418079,2.7322767575657,86.1175965796616,,,107.0,2.55777123959168,0.303920708941854,,5.25224052958962,6.84212815099252,65.6051815442268,70.9050002390023
CSS,2010,22.957857762579,44.748617871318,1.42325258908365,24.6613736190603,15.092409347607,94.7369236604859,1.03645340492509,,92.9548067244283,95.1642442544144,93.2620062277162,,86.663472390657,92.9098885098125,,101.0,2.43203551704861,0.32541691059142,,5.24789564726284,6.91559818373415,63.9054956778327,71.0835912783944
CSS,2011,22.4486363050989,44.8864768036686,1.43983407134703,24.158956924786,14.925335657237,95.0404968115638,0.976829238693104,,91.2828556339719,91.6368524653128,92.3299246243219,,87.1822722873412,,,101.0,2.30521292871876,0.282357609255067,,5.25710508781754,6.95098041943883,62.4569698838916,71.1907488434047
CSS,2012,22.0409685346672,45.0077351528714,1.44011823737712,23.613757578083,14.6816303430282,95.339884671291,0.937715164608924,,91.845374225454,92.0530796145351,89.1414804824176,2.78837856249934,87.7000918661803,,,96.0,2.1747958582595,0.240957401605992,,5.28130123624739,6.74233218484868,61.2673168267364,71.3416591239405
CSS,2013,21.7693146606876,45.2207971731838,1.42351877173754,23.250203145351,14.5105052390117,95.6193639981605,0.880171895862658,,92.1860000389917,92.1860000389917,93.2330239993761,2.72510757680936,88.1862464862654,,,94.0,2.04222201830614,0.223986650197244,,5.33795919254614,6.35964989795306,60.9481367536838,71.4361122077388
CSS,2014,21.5869559432256,45.4413226010437,1.40699043740357,22.6043260911363,14.0826956354547,95.9106778224648,0.836686799411527,,91.25696459241,91.25696459241,90.6919568782324,2.75442464488547,88.6440017362297,,79.7826808165917,96.0,1.92431225411304,0.277768640962468,,5.26272070649646,6.0687042371091,60.4044859512043,71.6230256687485
CSS,2015,21.4740042628728,45.6550283770036,1.40733545031188,22.0648432520137,13.8037569295552,96.1956664302456,0.819559097259593,,90.5387905590447,90.5387905590447,92.5348810203509,2.73495643145409,89.0690157395965,,80.1933051384677,94.0,1.80018745634179,0.254566781417949,,5.26890989420042,5.86264973171254,59.6846776867268,71.8674733623341
CSS,2016,21.4234566034055,45.8416109077283,1.39099137521819,21.5113754603379,13.4884589154537,96.4501794440324,0.805382794681179,,91.9743816426059,91.9743816426059,91.5926127421454,2.75086324135003,89.4528006888502,,80.6095033390005,89.0,1.68124324092738,0.254825469379679,,5.42704669511086,5.72376873247518,58.5733633660696,72.2071551824674
CSS,2017,21.4225594545051,45.9766082053917,1.39138006648338,20.9371408988544,13.1275550768628,96.7061204535192,0.800142327083165,,87.628619383208,87.628619383208,90.0340982705483,2.62769027537292,89.8301473705717,,,89.0,1.56010597270854,0.271332405654395,,5.70701474461846,5.57880349304296,57.1451130901463,72.4332461951409
CSS,2018,21.5831020871815,45.8864944404986,1.37676491818842,20.3605681082036,12.8075832826211,97.0116244900515,0.797656759028143,,91.7806837657642,91.7806837657642,90.5486967634559,2.63127067016097,90.2597757187787,,,89.0,1.24817602106498,0.251786445426507,,5.64682621597427,5.32609147609148,56.4072053867676,72.694576053522
CSS,2019,21.773503217073,46.1260336947735,1.35106543911801,20.9619229189887,12.6206605267789,97.177418677942,0.852738712304076,,92.2044552183715,92.0948803894575,88.3470102352307,2.99286877781792,90.6864306076337,97.8357252167742,,90.0,1.12940705838217,0.265129336707241,,5.74529925445099,5.21551851351999,55.1720952234869,72.3592307062763
CSS,2020,,46.2075395584395,1.33484021625723,19.4198013508145,12.2541418355185,97.1246531748613,0.791187989903162,,81.9296911018903,81.9072503858721,81.6012688676409,2.96866964567514,90.3638371283281,,,94.0,1.17390346387224,,,6.66540020948278,5.31786872621672,53.1005103893517,72.308759597255
CSS,2021,,46.2832533706605,1.36035605326916,18.8915332805071,11.9125614104596,97.2240451842651,0.807753632312074,,86.5600472741598,86.3733042415427,80.6490802751598,,90.5735188091483,,,,1.15083337725995,,,6.31577600033107,5.45033819775757,50.7509458011367,70.4450018132098
CSS,2022,,46.2840132728383,1.34504099045416,18.2932931574641,11.5515016063696,97.3257309738892,0.835655396029697,,88.1620092260379,88.1620092260379,85.408170169144,,90.7810743345415,,,,1.1275537555756,,,,5.47000113976276,50.3404758027461,70.9840247794591
CSS,2023,,,,,,,,,86.5469292685692,86.5125684073834,87.1799668140453,,,,,,,,,,,,
OED,1997,,,,15.7963226948712,8.07401377340648,,,,40.7315989354411,89.7585029041584,88.3770564778505,6.06859304992182,,,,,,,,,,35.9488448677708,76.2458589619651
OED,1998,,,,15.0217432708898,7.71686156301761,,,,43.0465587803782,89.6678189809789,88.9778759162542,5.95376966157742,,,,,,,,,,35.9379732876593,76.4500045179972
OED,1999,,,,14.3137997125907,7.36576584847926,,,,43.9204047428415,91.1478874562131,89.6104583692786,5.84430833330787,,,,,,,,,,35.9309419681481,76.5659413206397
OED,2000,13.5404005493716,,,13.5833880361695,6.99356078461988,97.5087867462455,,,65.0289173907518,91.8053014808225,91.1167969658174,5.5511968811107,95.6999216844521,95.410487042283,,23.0,1.092055771446,0.483500524960158,79.4762363465811,9.33480834914844,,35.5699979087533,76.909364684892
OED,2001,13.3271804537357,,,13.0815276283099,6.72109620800687,97.5959841507664,,,67.2998425317069,93.3929958731733,91.9344513214064,5.49907547468244,95.8131091760706,,,24.0,1.04582244453243,0.474347380840764,79.5154309775846,9.8147625832679,2.85486939629077,34.8483296240701,77.1972143663376
OED,2002,13.1756176607568,,,12.428136234518,6.39221116962405,97.7486627153321,,,67.7195087057424,92.7900274825678,91.7832521293289,5.45859095573956,95.9630269882424,,,23.0,0.998117744025858,0.44180670362488,79.5854426516837,10.2414018995634,2.92317586243227,33.9570101605009,77.3733887195261
OED,2003,13.0792789350302,,,11.8556259336641,6.03900713667994,97.8429795711839,,,69.6642196127518,93.6267176276981,91.7005312995141,5.25635205784295,96.1110176066691,,,22.0,0.950349678983644,0.441851934553377,79.8177169270145,10.4613124614682,3.01223548855865,33.2460373610044,77.500693269231
OED,2004,12.9673207088473,,,11.3931231879344,5.72700803273249,97.9377269629295,,,71.1394633533174,94.6125019579865,92.2504078747179,5.1949111717073,96.2592099066231,,,22.0,0.902484060976671,0.439275128127185,80.1916806286673,10.4180341755382,3.05593369630613,32.9602397088387,77.894595540946
OED,2005,12.8937495460689,,,10.9501616653684,5.48837871260741,98.2759948415375,,,72.6467168401962,95.3415561588661,92.9076036046287,5.26058998705576,96.4070803122359,,,21.0,0.85468660615784,0.469653866000463,80.5698625503776,10.4695534678135,3.02179902189698,32.6792183913954,78.0088397201939
OED,2006,12.8511596874512,,,10.4875261927828,5.24001938278146,98.3512726209132,,,74.0094528595682,95.7289036613289,93.8235963994849,5.06601789466307,96.5551743256499,,,21.0,0.806767796055007,0.450326044134881,80.9625392666161,10.5446799937007,2.95424973823224,32.810508608203,78.2953755091184
OED,2007,12.7915724353802,,,10.0114676999212,5.05092327880777,98.4314025963036,,,75.0034239953979,96.0572723208307,93.5875863860159,5.04999902530252,96.70384269146,,,21.0,0.759141190074501,0.432183240772953,81.3697764576491,10.5189606278454,2.91910407417286,33.0637652993124,78.5036226931941
OED,2008,12.7071347004946,,,9.62644553467456,4.89860144560551,98.507666030265,,,75.3814518968826,95.7073917942927,93.5384985622181,5.13204742237676,96.8479058265506,,,20.0,0.71156132157594,0.413403612773029,81.7686499063179,10.7181364750036,2.9561388056648,33.2370475456485,78.6542065043277
OED,2009,12.6528780861121,,,9.31891643633644,4.78114313739963,98.5734772691614,,,75.1762894699732,95.1828579481515,92.9799456278657,5.06600441608324,96.9898433197068,,,20.0,0.664591612071716,0.395372602994811,82.1716267613475,11.6585770877137,3.02400979316201,32.7425202831711,78.9165870838428
OED,2010,12.6104168291226,25.4975486555321,0.295825629505115,8.9758250681935,4.63467754432325,98.6365655706096,0.198341150990669,,75.937314055703,95.1479380667742,93.2780663511061,4.89626631098595,97.1311189518043,97.7775772148232,,19.0,0.617984333975552,0.398785534727121,82.5792135546556,11.5487816818269,3.04402563246339,31.4476003351017,79.088647261278
OED,2011,12.6186994272124,25.2891156718961,0.296351108096782,8.72758028497319,4.53965535961761,98.6980723974117,0.198144296027853,,77.7832169541144,95.6779706694759,93.8701290526932,4.84370295512051,97.2637158570112,,,20.0,0.572142634604364,0.385851087695857,82.9788208242269,11.5878584397011,2.9632682355019,30.3725547120129,79.3156200656067
OED,2012,12.6184669760237,25.2300385953079,0.298463945242995,8.45631222332428,4.44858680881667,98.7609992725811,0.198171360941299,,78.1073085613825,95.848091099243,94.2886411038702,4.82975443770813,97.3995195633146,,,19.0,0.525478862990741,0.378731936043289,83.4177693681122,11.7175048520206,2.87212913854802,29.6183445727606,79.4704100921789
OED,2013,12.6599815756055,25.1894493434734,0.320931148860975,8.24348556369494,4.34836002162541,98.8226321615953,0.193741653015202,,76.0943613846921,93.4919483346441,93.1296914682149,4.79163183681705,97.5362233278099,,,19.0,0.478634119992884,0.36361566060288,83.8648627986177,11.7116771669851,2.8083163893979,28.2602613370389,79.6670647141128
OED,2014,12.7174840648049,25.1836858369033,0.321578401185825,8.00155657605627,4.27231194227597,98.885499889141,0.192608596414653,,77.2126922055311,94.049179549596,94.1846515647246,4.76346915240909,97.6737938380546,,,19.0,0.431630182421758,0.337673480451515,84.3300477891972,11.8713933316505,2.76198293602875,26.7187864750991,79.9153602718514
OED,2015,12.8079021486629,25.1287620093094,0.321806993651933,7.76947340905659,4.17926415604531,98.9460062135687,0.1920791204753,,76.9888518437177,94.0436170874811,94.3066367817828,4.72496765092193,97.812278269476,,,20.0,0.3848490126679,0.330590658288731,84.8035438353563,12.2375036414102,2.74386534329912,24.8458825098009,79.7910326962093
OED,2016,12.9552947420424,25.1288488038583,0.322230281581211,7.55412885219009,4.12577217572862,99.0057970492456,0.189902728068632,,78.4760261091372,94.9809536831102,94.1266781603917,4.70627940340679,97.9487340219033,,,19.0,0.33852557305974,0.371663307051345,85.2748913036271,12.4029721209512,2.72377161424726,23.4390732265026,79.9044036722622
OED,2017,13.1212872252269,25.0926609257138,0.324693864059145,7.37699182418822,4.11954335449089,99.0645097590774,0.187180692156246,,74.984002356003,93.44953595706,91.1923159919147,4.72500484274719,98.0754193820025,,,20.0,0.290352394400993,0.370997430972842,85.7113071819127,12.360412390282,2.71694115301954,22.315853833348,79.9315533155999
OED,2018,13.3405042883316,25.0894074731174,0.319547096675536,7.20097840318987,4.10745534163734,99.1191129061511,0.187160011756774,,75.0582890825654,93.9736592004501,94.3826985822659,4.69043887188585,98.1879046402701,,,20.0,0.247564287909773,0.366786711895803,86.1104278208458,12.3210985157721,2.68576526063442,21.3636297564272,80.0097520847235
OED,2019,13.6068188299102,25.0453755183713,0.320252229487882,7.01449901236902,4.02691999087767,99.1692398863377,0.181700105654274,,86.6440599216677,93.2955227880907,90.7392014309613,4.63470485972513,98.2950688393439,98.2704376036173,,21.0,0.205142558658959,0.349155269545152,86.487903939528,12.5185743993372,2.69013832982038,20.6139131936254,80.2213090935305
OED,2020,,25.0566154120675,0.32844896975284,6.8539184349717,3.93705886721145,99.2120291891831,0.173833911659109,,88.7501731516505,90.9755230262302,93.1714555553228,4.60607335654045,98.40482700234,,,22.0,0.16247438355591,,86.8657098813134,13.9252685582926,2.67306275823443,19.5444359068532,78.8952380071515
OED,2021,,25.049578491031,0.323106470756229,6.63266612983998,3.78341367611566,99.2504593065436,,,89.2628844826392,91.7605367515002,94.105452826191,,98.4807346945937,,,,0.12134796215041,,87.1924309333183,13.3512527020392,2.6950904356617,18.6784167135527,78.6638716565587
OED,2022,,,,6.46898924389421,3.63704648845886,99.292499530353,,,90.1085603194641,92.750150093821,92.4544152034763,,98.5635055903762,,,,0.0997853070368544,,87.543392904907,,2.70580946963919,18.0565333535,79.6281298121431
OED,2023,,,,,,,,,90.4896444473542,93.0777321487674,90.8738705371657,,,,,,,,,,,,
AFG,1997,,26.6968325791855,0.1,144.2,66.4,,0.06,,,28.0,38.0,,,,,,,,,,,158.761,53.634
AFG,1998,,27.0754716981132,0.1,139.9,65.2,,0.06,,,27.0,31.0,,,,,,,,,,,155.942,52.943
AFG,1999,,27.3369104772663,0.1,135.8,64.0,,0.07,,,27.0,31.0,,,,,,,,,,,156.365,54.846
AFG,2000,35.7,27.4610074149834,0.1,131.6,62.7,27.4418560941262,0.06,0.0,,24.0,27.0,0.3,20.9709193555198,12.4,,1346.0,25.9684845454775,2.1,,,,154.31,55.298
AFG,2001,35.6,27.5034610059991,0.1,127.4,61.5,27.4735802318339,0.06,0.0,,33.0,37.0,0.39,20.9823486569015,,,1273.0,25.9456684084244,2.0,,,46.0,152.471,55.798
AFG,2002,35.4,27.5470138458359,0.1,123.0,60.2,29.6748627315109,0.07,0.0,,36.0,35.0,0.39,22.5413387666176,,,1277.0,25.1135281185257,2.3,,9.44339085,43.7,150.161,56.454
