ISO_3,year,"Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Primary education, teachers","Adjusted net enrollment rate, primary (% of primary school age children)",Children out of school (% of primary school age),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Adolescents out of school (% of lower secondary school age),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)"
SAU,2000,79.0,,58.5499992370605,,,,,42.75,12.039999961853,30.0699996948242,,,,,12.039999961853,,,,,,5.90982007980347
SAU,2001,,,,,,,,,,,,,,,,,,,,,7.71887016296387
SAU,2002,,,,,,,,,,,,,,,,,,,,,7.63688993453979
SAU,2003,,,,,,,,,,,,,,,,,,,,,7.10509014129639
SAU,2004,83.0,9.0,64.2099990844727,,,,,48.7999992370605,19.5,34.1699981689453,,14.9300003051758,,,19.5,,,,,,6.27747011184692
SAU,2005,,9.0,,96.10774,273288.0,,,,,,,,,,,,,,,,5.43092012405396
SAU,2006,,9.0,,,,,,,,,,,,,,,,,,,5.89117002487183
SAU,2007,,9.0,,102.9942,282697.0,,,,,,,,,,,,,,,,
SAU,2008,,9.0,,106.33321,298644.0,,,,,,,,,,,,,,,,5.13781023025513
SAU,2009,,9.0,,107.89546,284750.0,,16.959020614624,,,,12.9723596572876,,,,,,,,,,
SAU,2010,,9.0,,108.55401,297737.0,97.13673,11.616060256958,,,,,,,,,,,,,,
SAU,2011,,9.0,,105.77189,304041.0,97.12834,,,,,,,,,,,,,,,
SAU,2012,,9.0,,107.83539,315626.0,99.85199,,,,,,,,,,,,,,,
SAU,2013,94.0,9.0,81.3199996948242,113.1942,344836.0,97.8325,6.1931300163269,66.5100021362305,25.8899993896484,48.8899993896484,7.43948984146118,19.9400005340576,,0.550000011920929,24.8400001525879,,,,,,
SAU,2014,,9.0,,118.23247,347349.0,,4.78499984741211,,,,3.61062002182007,,,,,,,,,,
SAU,2015,,9.0,,106.01761,320731.0,97.37547,2.70409989356995,,,,2.96878004074097,,,,,,,,,,
SAU,2016,,9.0,,103.22267,286923.0,97.54549,2.68338990211487,,,,3.43184995651245,,,,,,,,,,
SAU,2017,95.0,9.0,81.0899963378906,96.45389,264175.0,95.77996,,68.8499984741211,31.4799995422363,53.8800010681152,,25.9799995422363,0.680000007152557,2.51999998092651,31.4799995422363,,,,,,
SAU,2018,,9.0,,91.50667,238784.0,95.10772,,,,,1.87626004219055,,,,,,,,,,
SAU,2019,,9.0,,,231117.0,,,,,,0.0816000029444695,,,,,,,,,,
SAU,2020,98.0,9.0,88.5800018310547,,248318.0,,2.63566994667053,77.2099990844727,37.9199981689453,62.2900009155273,0.7603600025177,31.0499992370605,1.14999997615814,3.58999991416931,37.9199981689453,,,,,,
SAU,2021,,9.0,86.5743408203125,,239942.0,,2.8173999786377,74.821647644043,38.8495178222656,63.318286895752,0.540440022945404,31.1062126159668,1.02915871143341,3.85187172889709,33.8733291625977,98.7798385620117,98.7798385620117,100.0,,,
SAU,2022,,9.0,89.2714920043945,,234751.0,,,76.8648834228516,39.1104736328125,64.6558227539062,,31.3336486816406,1.00226044654846,3.69963192939758,35.1697311401367,,,,,,
SAU,2023,,9.0,92.4906845092773,,,,,79.6131744384766,38.409294128418,64.7744903564453,,30.8887481689453,0.897173166275024,3.46000266075134,35.6994361877441,,,,,,5.11466979980469
SLE,1997,,,,,,,,,,,,,,,,,,,,,
SLE,1998,,,,,,,,,,,,,,,,,,,,,
SLE,1999,,,,,,,,,,,,,,,,,,,,,
SLE,2000,,,,,,,,,,,,,,,,100.0,100.0,,100.0,,4.94936990737915
SLE,2001,,,,,14875.0,,,,,,,,,,,,,,,,3.48251008987427
SLE,2002,,,,,,,,,,,,,,,,,,,,,3.59434008598328
SLE,2003,,,,,,,,,,,,,,,,,,,,,3.29900002479553
SLE,2004,35.0,9.0,21.9899997711182,,,,,18.9400005340576,5.46999979019165,12.1300001144409,,0.850000023841858,,,,,,,,,3.14692997932434
SLE,2005,,9.0,,,,,,,,,,,,,,,,,,,2.8372700214386
SLE,2006,,9.0,,,,,,,,,,,,,,,,,,,
SLE,2007,,9.0,,,,,,,,,,,,,,96.6322784423828,98.9183807373047,100.0,97.8303909301758,18.71485,2.5967800617218
SLE,2008,,9.0,,,,,,,,,,,,,,100.0,99.497428894043,89.8718566894531,97.6957015991211,20.82963,2.4658899307251
SLE,2009,,9.0,,,,,,,,,,,,,,100.0,100.0,99.4934616088867,99.8968200683594,19.75814,2.8182098865509
SLE,2010,,9.0,,,,,,,,,,,,,,98.1531524658203,99.295768737793,93.6783065795898,97.4781799316406,19.63902,2.58851051330566
SLE,2011,,9.0,,116.03094,38125.0,,9.05501174926758,,,,,,,,,99.0753173828125,99.6063003540039,97.1550064086914,98.8100509643555,17.92992,2.6782546043396
SLE,2012,,9.0,,142.68056,37957.0,95.90938,6.50381708145142,,,,,,,,,98.8193817138672,99.4724502563477,100.0,99.0631332397461,23.21997,2.88159847259521
SLE,2013,32.4261703491211,9.0,,147.88524,37317.0,,1.6342134475708,,,,42.4601669311523,,,,,99.2962265014648,99.6740417480469,99.890510559082,99.4569931030273,25.92508,2.3798131942749
SLE,2014,,9.0,98.6294860839844,,,,,74.6661758422852,36.7241363525391,51.1554870605469,,3.34998178482056,0.0,0.625794887542725,17.13498878479,99.190559387207,99.6497497558594,99.7838973999023,99.4818801879883,30.73061,2.66290760040283
SLE,2015,,9.0,,151.84925,40303.0,97.7963,1.62360417842865,,,,43.2162895202637,,,,,,,,,,
SLE,2016,,9.0,,165.15658,37837.0,98.96839,1.70402526855469,,,,40.9672775268555,,,,,100.0,100.0,,,52.14544,2.91133999824524
SLE,2017,44.833179473877,9.0,32.0777015686035,176.55061,37703.0,,,22.7418193817139,,8.16147994995117,40.8454780578613,2.14157009124756,,,,100.0,100.0,,,59.02014,4.66086006164551
SLE,2018,,9.0,32.6126976013184,171.84957,49768.0,,,21.5651473999023,5.69288015365601,14.8278369903564,50.4486961364746,1.90912628173828,0.0,0.272926807403564,1.90912628173828,80.5162124633789,77.1400985717773,,,46.3553,6.98962783813477
SLE,2019,43.5777816772461,9.0,33.5340690612793,,47738.0,,,23.1486206054688,,12.0926904678345,25.6013355255127,1.95823001861572,,,,78.181037902832,79.753532409668,,,,7.44701194763184
SLE,2020,,9.0,,,46677.0,,,,,,26.7595081329346,,,,,75.953239440918,79.5151214599609,,,,8.80954837799072
SLE,2021,,9.0,,,43747.0,,,,,,17.5814208984375,,,,,73.8269882202148,79.381706237793,81.0,77.2283630371094,,9.44223594665527
SLE,2022,48.6399993896484,9.0,,,48414.0,,,,,,,,,,,71.4337310791016,80.824348449707,80.5793991088867,75.5452728271484,,8.5391845703125
SLE,2023,,9.0,,,46007.0,,,,,,,,,,,,,,,,6.79109716415405
VEN,1997,,,,102.67076,,,,,,,,,,,,,,,,,
VEN,1998,,6.0,,,,,,,,,,,,,,,,,,,
VEN,1999,,14.0,,97.47051,,86.88182,11.5248498916626,,,,25.851110458374,,,,,,,,,,
VEN,2000,,14.0,75.3000030517578,103.35095,,89.38185,9.06039047241211,41.8400001525879,,30.0599994659424,24.4107093811035,,,,,,,,,,
VEN,2001,93.0,14.0,76.6500015258789,108.33858,,93.94543,7.11312007904053,43.7599983215332,24.6900005340576,31.9099998474121,20.6627502441406,,,,23.1900005340576,,,,,,
VEN,2002,,14.0,76.4000015258789,106.43561,,94.882,3.68597006797791,43.8800010681152,,31.7099990844727,18.2906093597412,,,,,,,,,,
VEN,2003,,14.0,76.2300033569336,101.75055,,93.39222,5.41732978820801,44.3899993896484,,32.4900016784668,16.9671592712402,,,,,,,,,,
VEN,2004,,14.0,77.0400009155273,100.29504,,93.52701,5.32808017730713,44.4599990844727,,32.5099983215332,14.7747802734375,,,,,,,,,,
VEN,2005,,14.0,78.4100036621094,98.73168,,92.20674,6.1870698928833,48.0999984741211,,35.0999984741211,13.5640201568604,,,,,,,,,,
VEN,2006,,14.0,80.0500030517578,100.51165,,92.8488,6.2217001914978,49.8400001525879,,38.3800010681152,10.899510383606,,,,13.0200004577637,99.5380935668945,96.3919982910156,84.9998779296875,92.1369476318359,47.32643,3.66905999183655
VEN,2007,95.0,14.0,80.8600006103516,105.05816,,93.87701,5.00722980499268,50.8600006103516,,39.7400016784668,7.67170000076294,,,,13.960000038147,99.3686904907227,92.7914810180664,97.2492828369141,97.34033203125,43.48734,3.62732005119324
VEN,2008,,14.0,82.0899963378906,102.0392,,92.01702,7.29172992706299,52.5900001525879,,41.4500007629395,9.40546035766602,,,,14.6800003051758,,,,,,
VEN,2009,96.0,14.0,82.6600036621094,99.34267,,94.04567,5.70156002044678,53.7099990844727,,42.9500007629395,7.94955015182495,,,,15.9200000762939,97.4342880249023,95.9750671386719,100.0,97.1079788208008,22.5991,6.87468004226685
VEN,2010,,14.0,83.4199981689453,98.93002,,94.85902,5.0674901008606,55.0800018310547,,44.8800010681152,9.5605001449585,,,,,,,,,,
VEN,2011,95.0,14.0,84.3300018310547,96.67837,,94.7808,5.00828981399536,56.7999992370605,24.8600006103516,46.939998626709,11.0495500564575,18.5100002288818,,,24.8600006103516,,,,,,
VEN,2012,,14.0,85.1600036621094,98.08186,,94.63712,5.05778980255127,56.7099990844727,,47.2900009155273,9.46156024932861,,,,,,,,,,
VEN,2013,,14.0,85.8000030517578,98.02263,,93.69849,5.63037014007568,58.7799987792969,,49.7200012207031,7.29421997070312,,,,,,,,,,
VEN,2014,,14.0,86.25,98.7438,,93.43597,6.45804977416992,60.2999992370605,,51.4099998474121,8.69342041015625,,,,,,,,,,
VEN,2015,97.0,14.0,87.7399978637695,98.66508,,93.25251,7.16062021255493,69.5999984741211,30.7800006866455,55.7900009155273,10.1896600723267,21.5400009155273,,1.02999997138977,29.7800006866455,,,,,,
VEN,2016,97.0,14.0,92.7099990844727,96.76722,,91.20013,10.1126699447632,74.4300003051758,35.4000015258789,61.9199981689453,12.0301504135132,25.1499996185303,,1.0,34.2900009155273,99.2278213500977,99.2174987792969,,,,
VEN,2017,,17.0,96.3873291015625,95.26529,,89.68011,12.4595899581909,70.8813171386719,30.211612701416,58.0678253173828,17.4188709259033,22.2573757171631,0.0,0.504893004894257,30.211612701416,95.3945617675781,95.7142486572266,,,,
VEN,2018,,17.0,,,,,,,,,,,,,,,,,,,
VEN,2019,,17.0,,,,,,,,,,,,,,,,,,,
VEN,2020,,17.0,,,,,,,,,,,,,,,,,,,
VEN,2021,,17.0,,,,,,,,,,,,,,,,,,,
VEN,2022,97.5999984741211,,,,,,,,,,,,,,,,,,,,
VEN,2023,,17.0,,,283420.0,,0.547710001468658,,,,1.8066600561142,,,,,97.9767074584961,95.7636795043945,97.3182907104492,97.1296005249023,,
TSA,1997,51.2601699829102,,,115.9978,3548517.5,,,,,,,,,,,,,,,,3.02230000495911
TSA,1998,56.0795593261719,7.5,,117.7634,3572054.5,,,,,,,,,,,,,,,,3.05141997337341
TSA,1999,56.8763084411621,7.5,,116.553,3649127.25,,,,,,,,,,,,,,,17.54497,2.75240004062652
TSA,2000,57.6505813598633,7.5,,119.0985,3745874.5,,,,,,,,,,,,,,,18.82241,2.55011510848999
TSA,2001,58.4130592346191,7.5,,117.5339,3730586.5,,,,,,,,,,,,,,,,
TSA,2002,59.2031288146973,7.5,,115.3652,3773731.75,,,,,,,,,,,,,,,,
TSA,2003,60.0957794189453,7.5,,122.3535,4049046.5,,,,,,,,,,,,,,,10.28111,3.11435008049011
TSA,2004,60.8761711120605,7.5,,122.9791,4171743.25,,,,,,,,,,,,,,,,2.55604004859924
TSA,2005,60.6736717224121,7.5,,123.3275,4296234.0,,,,,,,,,,,,,,,,3.18875002861023
TSA,2006,60.8487586975098,7.5,,123.8751,4397423.0,,,,,,,,,,,,,,,,3.14284992218018
TSA,2007,61.6839218139648,7.5,,120.4301,4539208.5,,,,,,,,,,,,,,,,2.87593495845795
TSA,2008,62.5962982177734,9.0,,119.1806,4697881.0,,,,,,,,,,,,,,,,3.03890502452851
TSA,2009,63.4580116271973,9.0,,110.9451,4835665.0,,,,,,,,,,,,,,,15.84816,2.7287050485611
TSA,2010,66.0289611816406,9.0,,115.3224,5012080.0,,,,,,,,,,,88.0552978515625,88.9169120788575,80.6562767028808,85.4408874511719,14.587105,3.377690076828
TSA,2011,66.6298599243164,9.0,,110.2376,5198444.0,,,,,,,,,,,89.6179046630859,89.924861907959,79.9626350402832,84.6624488830566,11.76926,2.79735493659973
TSA,2012,66.6765899658203,9.0,,108.8222,5277092.0,,,,,,,,,,,89.0782432556153,89.0782432556153,73.9335670471191,85.7194519042969,14.73352,2.32543528079986
TSA,2013,67.7057571411133,9.0,,107.0514,5681713.5,,,,,,,,,,,88.4216766357422,87.402545928955,69.334716796875,79.7189712524414,21.12484,2.71983814239502
TSA,2014,68.4551620483398,9.0,,103.941,5742524.5,,,,,,,,,,,88.9263076782227,84.4293899536133,72.4339370727539,80.696907043457,16.28867,2.84516704082489
TSA,2015,69.7821502685547,9.0,,104.5813,5768593.0,,,,,,,,,,,90.6073684692383,85.1359329223633,68.0542221069336,80.7292327880859,17.668285,2.82094502449036
TSA,2016,71.1057815551758,9.0,,106.213,5953817.5,91.62522,,,,,,,,,,,72.9943695068359,,,22.20075,3.35320115089417
TSA,2017,71.6678314208984,9.0,,102.9557,5845187.0,91.36517,,,,,,,,,,,,,,,3.06104683876038
TSA,2018,72.1920623779297,9.0,,105.2003,5567726.0,91.67923,,,,,,,,,,,,,,,2.33216953277588
TSA,2019,71.9660263061523,9.0,,,5835546.0,,,,,,,,,,,,,,,,2.85029923915863
TSA,2020,72.6831893920898,9.0,,,6109083.5,,,,,,,,,,,,,,,,2.05718231201172
TSA,2021,73.4790115356445,9.0,,,6155550.0,,,,,,,,,,,,,,,,1.83117997646332
TSA,2022,74.265266418457,9.0,,,6164135.0,,,,,,,,,,,,,,,,1.97444903850555
TSA,2023,75.0088500976562,9.0,,,6334677.5,,,,,,,,,,,,,,,,1.84819453954696
