ISO_3,year,"Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Primary education, teachers","Adjusted net enrollment rate, primary (% of primary school age children)",Children out of school (% of primary school age),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Adolescents out of school (% of lower secondary school age),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)"
NOR,2005,,10.0,,96.88133,,98.5115,0.61405998468399,99.8300018310547,30.5,71.2699966430664,1.2002500295639,,,,27.5799999237061,88.4812164306641,88.3947372436523,90.6198272705078,89.3433685302734,32.36272,6.84082984924316
NOR,2006,,10.0,,99.27738,,98.59501,0.509649991989136,99.8099975585938,31.1499996185303,73.25,0.882740020751953,,,,28.2000007629395,88.1519317626953,,93.953857421875,89.3261871337891,31.54551,6.35822010040283
NOR,2007,,10.0,100.0,100.3055,,99.07673,0.311830013990402,99.8099975585938,31.8199996948242,73.7699966430664,0.343089997768402,,,,28.8700008392334,88.0965881347656,85.3795318603516,94.1472473144531,88.4802398681641,31.94706,6.50671005249023
NOR,2008,,10.0,100.0,97.82284,,99.26473,0.162699997425079,99.7200012207031,32.8400001525879,74.9300003051758,0.0182499997317791,,,,29.8799991607666,87.1015167236328,87.3229598999023,93.9964065551758,88.6739501953125,31.98681,6.24915981292725
NOR,2009,,10.0,100.0,97.3131,,99.15591,0.181769996881485,99.6999969482422,33.4000015258789,74.8899993896484,0.0854099988937378,,,,30.4300003051758,85.8697128295898,85.3984985351562,94.0686264038086,87.5348205566406,30.43174,7.07067012786865
NOR,2010,,10.0,100.0,100.42284,,99.08012,0.252790004014969,99.6999969482422,34.2099990844727,75.4100036621094,0.0005200000014156,0.693232774734497,0.0,0.0,31.1800003051758,87.6998825073242,86.8871612548828,93.4326782226562,88.6879425048828,29.62594,6.71042013168335
NOR,2011,,10.0,100.0,101.75427,,99.40241,0.194749996066093,99.5999984741211,35.2099990844727,75.9899978637695,0.049770001322031,0.680939614772797,0.0,0.0,32.2299995422363,89.3408126831055,87.7527084350586,94.1584625244141,89.8577880859375,29.89166,6.41490983963013
NOR,2012,,10.0,99.9310302734375,100.95406,,99.68671,0.270639985799789,99.7369689941406,40.3267021179199,80.810661315918,0.757600009441376,0.607396066188812,0.0,0.0,36.5555419921875,90.2583770751953,,,90.7131423950195,,7.32766008377075
NOR,2013,,10.0,99.9536590576172,102.3461,47444.0,99.86067,0.263069987297058,99.7387390136719,41.0507431030273,81.2519836425781,0.0578100010752678,0.651003360748291,0.0,0.0,37.5405082702637,87.7477874755859,86.5336303710938,92.6842880249023,89.0115432739258,26.61598,7.43906021118164
NOR,2014,,10.0,99.6500015258789,99.88212,48123.6015625,99.82749,0.417670011520386,99.2099990844727,37.5400009155273,77.0100021362305,0.197310000658035,25.7299995422363,0.879999995231628,9.68000030517578,35.7200012207031,87.6534423828125,86.9141693115234,92.3348693847656,89.2528686523438,28.57301,7.64403009414673
NOR,2015,,10.0,99.6699981689453,100.78194,48583.28125,99.77225,0.532079994678497,99.2300033569336,38.0200004577637,77.4899978637695,0.249359995126724,26.6499996185303,0.949999988079071,10.1199998855591,36.5200004577637,85.5469512939453,86.5204467773438,90.2664184570312,87.7157669067383,25.905,7.52334976196289
NOR,2016,,10.0,99.6699981689453,101.40439,48644.48046875,99.8062,0.69080001115799,99.2300033569336,38.7799987792969,77.8399963378906,0.318850010633469,27.3299999237061,1.0,10.4899997711182,37.2299995422363,86.6785125732422,86.3848190307617,87.3181228637695,87.5876007080078,26.72475,7.98444986343384
NOR,2017,,10.0,99.6900024414062,100.22682,51737.12109375,99.88251,0.65148001909256,99.2399978637695,39.5999984741211,78.2200012207031,0.251949995756149,28.0699996948242,1.01999998092651,10.8699998855591,38.0299987792969,85.7278137207031,85.220832824707,87.9076766967773,87.0238800048828,,7.84598016738892
NOR,2018,,10.0,99.449821472168,,52720.3984375,,0.752420008182526,99.000846862793,42.9195327758789,82.1473999023438,0.35903999209404,30.0355529785156,1.04676234722137,11.9153957366943,41.315315246582,84.7411117553711,86.2267303466797,88.2347412109375,87.2210006713867,,7.59563016891479
NOR,2019,,10.0,99.7099990844727,,51481.44140625,,0.832340002059937,99.1900024414062,40.8400001525879,78.75,0.381669998168945,29.2900009155273,1.0900000333786,11.5500001907349,39.2299995422363,85.2064666748047,87.2167816162109,87.5718688964844,87.5850219726562,,7.8645601272583
NOR,2020,,10.0,99.1379623413086,,51256.140625,,1.03313994407654,98.6916427612305,43.802059173584,82.4527740478516,0.475069999694824,32.1195335388184,1.333909034729,13.0361595153809,42.6541557312012,83.7955703735352,86.8204803466797,88.3568267822266,87.2175064086914,,8.3728199005127
NOR,2021,,10.0,91.4885406494141,,51613.10546875,,0.939869999885559,90.950065612793,41.9252891540527,75.2643356323242,0.387510001659393,30.4537925720215,1.20330023765564,12.3043565750122,40.4976425170898,84.4648895263672,86.7610168457031,92.1137924194336,88.2283172607422,,6.9602198600769
NOR,2022,,10.0,97.7384033203125,,52064.13671875,,0.949949979782104,97.22021484375,43.4981880187988,79.070556640625,0.459870010614395,31.1733207702637,1.29721200466156,12.872220993042,42.0882186889648,,,,,,3.96801972389221
NOR,2023,,10.0,,,,,,,,,,,,,,,,,,,
GEO,1997,,,,116.73222,16542.0,99.86955,13.7074699401855,,,,11.9977197647095,,,,,,,,,,
GEO,1998,,6.0,,121.61529,16841.0,,,,,,,,,,,,,,,,2.10888004302979
GEO,1999,,6.0,,118.06181,17365.0,,,,,,,,,,,,,,,,2.15512990951538
GEO,2000,,6.0,,110.88494,17714.0,,,,,,,,,,,,,,,,2.18105006217957
GEO,2001,,6.0,,107.58305,17732.0,,,,,,,,,,,,,,,,2.13750004768372
GEO,2002,100.0,6.0,98.2699966430664,110.6319,18406.0,,,91.1100006103516,48.3400001525879,83.6600036621094,,,,,25.8600006103516,,,,,,2.23501992225647
GEO,2003,,6.0,,110.25714,16500.0,,,,,,,,,,,,,,,,2.06559991836548
GEO,2004,,6.0,,110.06326,,94.62166,0.952459990978241,,,,,,,,,,,,,,2.91420006752014
GEO,2005,,9.0,,105.88317,,93.91598,0.322459995746613,,,,7.45454978942871,,,,,,,,,,2.48431992530823
GEO,2006,,9.0,,100.01227,,92.8764,0.253800004720688,,,,,,,,,,,,,,3.00364995002747
GEO,2007,,9.0,,106.95197,,99.34911,2.17192006111145,,,,0.456809997558594,,,,,,,,,,2.69687008857727
GEO,2008,,9.0,,105.65619,35860.0,98.5977,2.1870698928833,,,,1.34466004371643,,,,,,,,,11.5767,2.9195499420166
GEO,2009,,9.0,,103.31643,33511.0,96.9221,2.09541988372803,,,,0.0,,,,,,,,,,3.22237992286682
GEO,2010,,9.0,91.48974609375,101.71309,,,,56.0483474731445,33.1878890991211,52.0230674743652,,0.0,0.0,0.0,0.0,,,,,,2.80364799499512
GEO,2011,,9.0,98.1285552978516,115.09746,,97.59425,1.51280999183655,95.2528915405273,55.1890068054199,91.0821990966797,,32.3346519470215,0.309547811746597,29.4516925811768,32.3346519470215,,,,,11.1604,2.5149199962616
GEO,2012,,9.0,98.1399993896484,114.81156,,98.77982,2.12387990951538,95.5899963378906,49.6699981689453,90.9300003051758,,30.1700000762939,0.230000004172325,27.2999992370605,30.1700000762939,,,,,19.1708,1.86033999919891
GEO,2013,,9.0,98.8142776489258,97.25524,31595.0,99.55879,2.09370994567871,96.6452026367188,56.2283668518066,92.2198257446289,2.25247001647949,33.1168594360352,0.218992859125137,30.0510406494141,33.1168594360352,,,,,,3.47322177886963
GEO,2014,100.0,9.0,98.7699966430664,92.9436,31428.0,99.31588,2.01871991157532,96.7099990844727,49.4099998474121,92.0699996948242,2.14838266372681,30.8600006103516,0.300000011920929,27.4200000762939,30.8799991607666,,,,,,2.99768662452698
GEO,2015,,9.0,99.1479797363281,94.19762,32001.0,99.73715,1.38601994514465,97.621452331543,56.6626739501953,93.5190582275391,1.68992829322815,34.6597900390625,0.408930957317352,30.6493244171143,34.6597900390625,,,92.0891036987305,,,3.16487407684326
GEO,2016,,9.0,99.3099975585938,90.92564,33020.0,97.95282,1.4086400270462,97.9499969482422,51.0299987792969,93.4499969482422,1.56377291679382,32.8499984741211,0.409999996423721,28.1499996185303,32.8600006103516,,,,,11.08576,3.52338004112244
GEO,2017,99.0,9.0,99.3099975585938,,33398.0,99.24104,1.12943005561829,97.5199966430664,59.2400016784668,92.5,1.72602164745331,34.0200004577637,0.509999990463257,27.1499996185303,34.060001373291,,,,,10.07808,3.52442002296448
GEO,2018,99.6536636352539,9.0,97.787467956543,101.81292,33998.0,99.21379,1.02190005779266,93.1419982910156,57.9514694213867,92.3965454101562,1.60069704055786,34.8497581481934,0.557952344417572,26.7286930084229,33.872974395752,,,,,,3.46094989776611
GEO,2019,,9.0,99.1900024414062,,34555.0,,0.8992999792099,97.6600036621094,57.0,92.1699981689453,1.56145691871643,33.6699981689453,0.509999990463257,26.3600006103516,33.7000007629395,,,,,,3.82985997200012
GEO,2020,,9.0,99.2970886230469,,32616.0,,0.627780020236969,98.1106109619141,55.1197280883789,92.4814300537109,1.21995317935944,33.1648941040039,0.44100683927536,25.6726837158203,33.1648941040039,,,,,,3.8498592376709
GEO,2021,,9.0,99.5020217895508,,32677.0,,0.309819996356964,98.3686447143555,52.5880126953125,92.4135360717773,1.08010935783386,34.2079086303711,0.336135566234589,27.9790287017822,,,,,,,3.59441995620728
GEO,2022,100.0,9.0,99.3499984741211,,32737.0,,1.32164001464844,98.4300003051758,54.0699996948242,92.8600006103516,1.08169150352478,34.0200004577637,0.400000005960464,26.1499996185303,34.0299987792969,,,,,,3.75498008728027
GEO,2023,,9.0,99.474494934082,,32059.0,,2.4958701133728,98.4463119506836,53.7755889892578,93.1997680664062,,34.5390701293945,0.53973525762558,26.4408302307129,,,,,38.1954116821289,,3.73861002922058
PRK,1997,,11.0,,,,,,,,,,,,,,,,,,,
PRK,1998,,11.0,,,,,,,,,,,,,,,,,,,
PRK,1999,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2000,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2001,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2002,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2003,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2004,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2005,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2006,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2007,,11.0,,,,,,,,,,,,,,,,,,,
PRK,2008,100.0,11.0,,,,,,,,,,,,,,,,,,,
PRK,2009,,11.0,,103.25894,70298.0,97.75248,0.171930000185966,,,,,,,,,,,,,,
PRK,2010,,11.0,95.4281387329102,,,,,83.6172256469727,38.3470840454102,72.9041366577148,,27.0118770599365,0.525930047035217,3.62521147727966,38.3470840454102,,,,,,
PRK,2011,,11.0,95.7397689819336,,,,,84.1607894897461,39.3404541015625,73.3761596679688,,27.39892578125,0.529660642147064,3.70801472663879,39.3404541015625,,,,,,
PRK,2012,,11.0,96.0725631713867,,,,,84.7721786499023,40.2923393249512,74.06982421875,,27.8424549102783,0.587143421173096,3.83147430419922,40.2923393249512,,,,,,
PRK,2013,,11.0,96.2655029296875,,,,,85.2677459716797,41.3201675415039,74.8261566162109,,28.7843112945557,0.636968791484833,3.95809483528137,41.3201675415039,,,,,,
PRK,2014,,12.0,96.5232849121094,,,,,86.0320358276367,42.3194923400879,75.9209594726562,,30.086555480957,0.68996787071228,4.18305492401123,42.3194923400879,,,,,,
PRK,2015,,12.0,96.5802612304688,96.79875,,,,86.5680084228516,42.8458862304688,76.6312942504883,,30.9340763092041,0.749150693416595,4.25994443893433,42.8458862304688,,,,,,
PRK,2016,,12.0,96.7117233276367,,,,,87.1409454345703,43.6879920959473,77.3171768188477,,31.7693634033203,0.761667788028717,4.42477798461914,43.6879920959473,,,,,,
PRK,2017,,12.0,96.7661743164062,,,,,87.3605194091797,44.3815803527832,77.6303787231445,,32.154483795166,0.755658686161041,4.5047345161438,44.3815803527832,,,,,,
PRK,2018,99.9981918334961,12.0,96.9526138305664,92.60957,74274.0,,,87.5821838378906,45.3113746643066,77.9471054077148,,33.0220794677734,0.824911057949066,4.63531351089478,45.3113746643066,,,,,,
PRK,2019,,12.0,97.0582046508789,,,,,87.8838653564453,46.005802154541,78.4517593383789,,33.6001853942871,0.829270303249359,4.62784194946289,46.005802154541,,,,,,
PRK,2020,,12.0,97.1387786865234,,,,,88.0985565185547,46.4535713195801,78.8234252929688,,33.8704376220703,0.796154260635376,4.52584409713745,46.4535713195801,,,,,,
PRK,2021,,12.0,97.2863693237305,,,,,88.5332107543945,46.9363212585449,79.337776184082,,34.2422485351562,0.7924724817276,4.44423294067383,46.9363212585449,,,,,,
PRK,2022,,12.0,97.459587097168,,,,,88.8400955200195,47.5099182128906,79.7711639404297,,34.5359725952148,0.800657868385315,4.59530401229858,47.5099182128906,,,,,,
PRK,2023,,12.0,,,,,,,,,,,,,,,,,,,
BOL,1997,,,,135.79438,,,,,,,,,,,,,,,,,
BOL,1998,,8.0,,129.39453,,95.86253,0.47749999165535,,,,14.609450340271,,,,,,,,,,
BOL,1999,,8.0,,132.38759,58441.0,95.99743,0.030850000679493,,,,8.4229097366333,,,,,,,,,,
BOL,2000,,8.0,50.9700012207031,128.98242,,96.41673,0.0838799998164177,43.2000007629395,,29.7099990844727,2.76138997077942,,,,,,,,,,
BOL,2001,87.0,8.0,49.5800018310547,127.53571,,96.30042,0.251419991254807,41.5900001525879,16.8299999237061,28.3199996948242,2.40722990036011,,,,14.0799999237061,,,,,,
BOL,2002,,8.0,48.9300003051758,127.42769,,96.51171,0.24685999751091,39.9500007629395,,25.7000007629395,1.90564000606537,,,,,,,,,,7.1950478553772
BOL,2003,,8.0,,123.07692,,96.68407,0.412429988384247,,,,2.13776993751526,,,,,,,,,,6.62961912155151
BOL,2004,,8.0,48.7599983215332,124.72192,,96.354,0.656499981880188,40.0200004577637,,26.0400009155273,2.02002000808716,,,,,,,,,,6.84771823883057
BOL,2005,,8.0,52.5900001525879,125.44526,,96.42277,0.547129988670349,44.6399993896484,,30.9599990844727,1.09740996360779,,,,,,,,,,6.71352529525757
BOL,2006,,8.0,54.1399993896484,125.24056,,96.43571,0.5244500041008,46.3499984741211,20.9200000762939,33.4700012207031,0.643610000610352,,,,20.9200000762939,90.1180572509766,81.3080596923828,89.0091094970703,87.9533081054688,,6.43421983718872
BOL,2007,91.0,8.0,56.3400001525879,123.91753,,96.20668,0.482520014047623,49.8800010681152,,36.6100006103516,0.376089990139008,,,,,87.4712524414062,86.3964385986328,86.4039535522461,87.3275833129883,,6.72048997879028
BOL,2008,91.0,8.0,56.3600006103516,115.7387,,94.91023,0.268099993467331,49.6300010681152,20.5400009155273,36.310001373291,0.23589999973774,,,,20.5400009155273,86.8162994384766,83.5726470947266,86.4513397216797,86.5151214599609,,6.72302007675171
BOL,2009,91.0,14.0,58.2400016784668,96.52582,,97.1906,1.44128000736237,51.3400001525879,22.7700004577637,38.060001373291,3.80753993988037,,,,22.7700004577637,87.678352355957,87.1516494750977,84.6207809448242,87.0645599365234,,7.57486009597778
BOL,2010,,14.0,,90.30936,98085.0,94.39305,4.26253986358643,,,,4.45645999908447,,,,,91.0530166625977,89.8408889770508,87.1525497436523,89.9677124023438,,6.97379016876221
BOL,2011,92.0,14.0,60.939998626709,88.11135,94212.0,91.85201,6.77400016784668,53.9900016784668,15.1722717285156,40.4500007629395,6.00062990188599,15.0740156173706,0.0935568660497665,1.01070535182953,15.1722717285156,94.4568405151367,86.2413330078125,86.0874176025391,90.0732574462891,,6.45056009292603
BOL,2012,94.0,14.0,62.4700012207031,90.59564,94902.0,88.39177,9.79275035858154,56.2400016784668,24.0300006866455,41.9599990844727,3.2650101184845,12.9347915649414,0.28999999165535,1.78999996185303,24.0300006866455,93.0762329101562,82.7601165771484,85.9180679321289,88.3863677978516,,6.62799978256226
BOL,2013,,14.0,64.4000015258789,92.28039,82523.0,88.0242,10.6139602661133,58.6500015258789,14.825252532959,46.4099998474121,3.93954992294312,14.825252532959,0.221096575260162,1.1558610200882,14.825252532959,90.3693695068359,82.007926940918,81.9357376098633,85.5722885131836,,6.80321979522705
BOL,2014,,14.0,61.25,92.6226,80126.0,87.94434,11.127799987793,54.7099990844727,12.9951934814453,40.8699989318848,7.58859014511108,12.9951934814453,0.19344399869442,0.943867444992065,12.9951934814453,87.9768905639648,80.3862228393555,80.7244720458984,83.3370132446289,,7.47812986373901
BOL,2015,92.0,14.0,62.6599998474121,94.79886,78953.0,88.70123,11.1102895736694,56.4099998474121,26.6200008392334,42.1699981689453,9.81830024719238,22.3299999237061,0.219999998807907,1.04999995231628,26.6200008392334,89.7440185546875,86.6382064819336,83.8330993652344,86.6422805786133,,8.14342975616455
BOL,2016,,14.0,63.0499992370605,95.68299,77838.0,89.84267,10.3521900177002,57.4199981689453,19.2934608459473,43.1500015258789,12.1483001708984,13.4819030761719,0.0841419845819473,0.756811738014221,18.6036014556885,91.110710144043,86.7602386474609,87.3188705444336,88.273323059082,,8.15060997009277
BOL,2017,,14.0,63.4199981689453,100.09803,76851.0,91.48686,8.87407970428467,57.6199989318848,21.4028148651123,44.7200012207031,14.2699699401855,14.1513919830322,0.0987071320414543,0.832669317722321,20.6735992431641,90.1471710205078,85.4207229614258,90.2861480712891,88.1523895263672,,8.09724044799805
BOL,2018,,14.0,64.7799987792969,98.96598,76914.0,93.18324,7.20013999938965,58.9500007629395,22.5758857727051,45.189998626709,13.6129598617554,14.3088550567627,0.0708804130554199,0.854715764522552,21.9419193267822,91.7263412475586,87.7892990112305,92.106330871582,90.0860824584961,,8.01587009429932
BOL,2019,,14.0,68.1999969482422,,76543.0,,5.98522996902466,62.5299987792969,31.1000003814697,48.5800018310547,13.6554498672485,24.7000007629395,0.189999997615814,1.3400000333786,31.1000003814697,92.9058227539062,91.5459899902344,92.080207824707,91.9019622802734,,8.09103965759277
BOL,2020,94.0,14.0,67.629997253418,,76491.0,,5.04558992385864,62.5,31.4799995422363,50.4799995422363,12.3988800048828,26.8199996948242,0.119999997317791,0.970000028610229,31.4799995422363,97.4222412109375,96.3974914550781,96.1186904907227,96.5764770507812,,8.43710994720459
BOL,2021,,14.0,69.3899993896484,,76564.0,,4.16317987442017,63.7299995422363,27.3726997375488,49.7099990844727,12.3030595779419,16.2906856536865,0.101976655423641,1.5667462348938,27.1454563140869,96.8731079101562,95.4482116699219,94.6861801147461,95.7545166015625,,7.96215009689331
BOL,2022,,14.0,75.4829025268555,,76410.0,,3.38124990463257,61.2622833251953,29.5106086730957,50.7063941955566,11.1914300918579,16.893159866333,0.0526692643761635,1.43368327617645,29.4184741973877,97.3650512695312,96.2855224609375,95.3920974731445,96.4324569702148,,7.57550001144409
BOL,2023,,14.0,76.1023025512695,,76473.0,,4.15747976303101,62.4274368286133,30.7542209625244,52.1244964599609,7.39885997772217,17.8769969940186,0.0576154626905918,1.60064458847046,30.6995735168457,,,,,,
KIR,1997,,,,105.55556,727.0,99.11476,0.493910014629364,,,,,,,,,,,,,,
KIR,1998,,,,,720.0,,,,,,,,,,,,,,,,
KIR,1999,,,,117.76113,581.0,,,,,,,,,,,,,,,,9.69332027435303
KIR,2000,,,,114.14763,460.0,,1.29394996166229,,,,,,,,,,,,,,10.0586099624634
KIR,2001,,,,114.49149,664.0,,,,,,,,,,,,,,,,11.6075401306152
KIR,2002,,,,110.05111,660.0,,,,,,,,,,,,,,,,
KIR,2003,,,,123.70157,596.0,,,,,,,,,,,,,,,,
KIR,2004,,,,117.21246,633.0,,,,,,,,,,,,,,,,
KIR,2005,,,,123.59155,654.0,,,,,,,,,,,,,,,,
KIR,2006,,,,119.34335,606.0,,,,,,,,,,,,,,,,
KIR,2007,,,,110.77622,639.0,,,,,,,,,,,,,,,,
KIR,2008,,,,113.63636,645.0,,,,,,,,,,,,,,,,
KIR,2009,,,,,,,,,,,,,,,,,,,,,
KIR,2010,,,,,639.0,,,,,,,,,,,,,,,,
KIR,2011,,,,,628.0,,,,,,,,,,,,,,,,13.0445995330811
KIR,2012,,,,,644.0,,,,,,,,,,,,,,,,13.4276657104492
KIR,2013,,9.0,,,649.0,,,,,,,,,,,,,,,,13.2189998626709
KIR,2014,,9.0,,109.16086,614.0,98.64791,0.652610003948212,,,,,,,,,,,,,,12.9530000686646
KIR,2015,,9.0,92.8559722900391,103.2292,628.0,97.44464,1.82659995555878,82.8101348876953,2.96115899085999,37.8729591369629,,1.24421882629395,0.024556951597333,0.315147548913956,2.43932390213013,,,,,,12.1140003204346
KIR,2016,,9.0,,102.3622,656.0,98.23962,1.01591002941132,,,,,,,,,,,,,,13.4829998016357
KIR,2017,,9.0,,102.18132,655.0,96.08751,3.07507991790771,,,,,,,,,,,,,,13.5749998092651
KIR,2018,97.9597091674805,9.0,88.9383163452148,,,,,69.7021713256836,,8.21125984191895,,2.77992010116577,,,,,,,,,15.3769998550415
KIR,2019,,9.0,96.3848266601562,,,,,84.8798294067383,4.06036996841431,74.0177001953125,,4.06036996841431,0.0,0.443352490663528,4.06036996841431,,,,,,13.7686548233032
KIR,2020,,9.0,96.9500198364258,,721.0,,2.64476990699768,84.680046081543,6.45778131484985,45.8746681213379,,1.98977661132812,0.07762211561203,0.602044701576233,4.99810695648193,,,,,,
KIR,2021,,9.0,,,710.0,,4.73979997634888,,,,11.9627599716187,,,,,,,,,,14.1951599121094
KIR,2022,,9.0,,,739.0,,7.81623983383179,,,,9.74277973175049,,,,,,,,,,
KIR,2023,,9.0,,,742.0,,12.2459697723389,,,,9.61672019958496,,,,,,,,,,
LVA,1997,,,,94.2498,10883.0,,,,,,,,,,,,,,,14.26029,5.51279020309448
LVA,1998,,11.0,,,9489.0,,,,,,,,,,,,,,,15.88595,5.80772018432617
LVA,1999,,11.0,,99.05325,9191.0,98.52165,2.23511004447937,,,,,,,,,96.3829803466797,95.881233215332,90.9090881347656,96.4043807983398,16.74857,5.53938007354736
LVA,2000,100.0,11.0,,101.06477,8935.0,,,,,,,,,,,93.7618103027344,93.8202209472656,79.1666717529297,94.1693725585938,16.2608,5.27427005767822
LVA,2001,,11.0,,106.51647,8379.0,,,,,,,,,,,90.2399978637695,93.2379684448242,100.0,93.1088485717773,15.62937,5.44695997238159
LVA,2002,,11.0,,103.24497,7942.0,,,,,,,,,,,83.8709716796875,85.6287384033203,100.0,86.4963531494141,15.40785,5.60254001617432
LVA,2003,,11.0,,103.88964,7544.0,,,,,,,,,,,90.0505905151367,90.8727874755859,94.4444427490234,91.1454696655273,13.87419,5.05714988708496
LVA,2004,,11.0,99.3600006103516,101.12512,7124.0,,,96.9800033569336,30.3500003814697,79.0500030517578,,,,,18.9400005340576,89.9671096801758,91.2694396972656,95.8333282470703,91.6215362548828,13.44828,4.83406019210815
LVA,2005,,11.0,,101.8223,6915.0,,,98.0,30.1299991607666,80.0800018310547,,,,,19.8799991607666,,,,,,5.29892539978027
LVA,2006,,11.0,,99.98331,6699.0,,,99.0199966430664,34.1800003051758,86.0199966430664,,,,,24.2800006866455,86.1558685302734,87.3037796020508,89.232048034668,87.4823837280273,17.92301,4.68466997146606
LVA,2007,,11.0,99.1999969482422,99.82849,10989.0,,,97.4199981689453,27.6200008392334,80.3300018310547,,,,,21.2600002288818,83.7398223876953,84.3317489624023,91.1135101318359,84.6086196899414,18.59129,4.63328981399536
LVA,2008,,11.0,99.4499969482422,99.55077,10541.0,98.60436,0.0085399998351931,97.9199981689453,29.7999992370605,82.1600036621094,0.0043899999000132,,,,23.9599990844727,81.8239898681641,84.6939392089844,93.8101272583008,84.1820373535156,17.33077,5.36644983291626
LVA,2009,,11.0,99.4700012207031,101.0528,10934.0,97.69003,0.875699996948242,98.4400024414062,30.6200008392334,83.6800003051758,0.244609996676445,,,,24.8700008392334,87.0641098022461,89.1208267211914,96.2065887451172,87.3064804077148,13.95755,5.52265977859497
LVA,2010,,11.0,99.5899963378906,101.91345,9566.0,97.96421,0.867569983005524,98.7099990844727,32.5400009155273,85.2099990844727,0.786390006542206,0.276932179927826,0.0,0.0,25.25,86.2965393066406,88.5694122314453,89.7697677612305,87.3211517333984,15.88385,5.03881978988647
LVA,2011,100.0,11.0,99.6900024414062,98.05815,9959.0,97.96811,0.766680002212524,98.7900009155273,34.2099990844727,84.8099975585938,0.588169991970062,0.344332575798035,0.0,0.0,25.9200000762939,87.6600799560547,88.022819519043,82.2960891723633,87.7100067138672,20.47037,5.07161998748779
LVA,2012,,11.0,99.6999969482422,98.80772,10296.0,97.18176,1.46035003662109,98.9300003051758,35.7000007629395,86.0899963378906,1.23418998718262,0.405498027801514,0.0,0.0,27.2099990844727,87.8860015869141,88.0659790039062,79.7518768310547,87.5598983764648,20.69326,6.58270978927612
LVA,2013,,11.0,99.6500015258789,98.4669,10221.0,96.74439,1.86098003387451,98.9800033569336,37.7700004577637,86.8600006103516,1.60473001003265,27.6900005340576,0.469999998807907,0.0,29.2399997711182,86.7436599731445,88.365348815918,81.4335174560547,87.3852462768555,19.45432,6.99697017669678
LVA,2014,,11.0,99.096923828125,98.55373,10338.0,96.45821,1.96988999843597,99.4199981689453,37.6599998474121,87.8000030517578,1.54703998565674,26.6299991607666,0.579999983310699,10.7600002288818,28.7299995422363,81.4904174804688,82.8738403320312,74.3456115722656,82.0541915893555,21.31183,5.28122997283936
LVA,2015,,11.0,99.6500015258789,98.95319,10537.0,96.48701,2.03865003585815,99.2799987792969,37.310001373291,88.2900009155273,1.85964000225067,27.7000007629395,0.540000021457672,11.6099996566772,29.7700004577637,82.9887084960938,83.3679809570312,66.6161422729492,84.3717727661133,22.0921,5.28251981735229
LVA,2016,,11.0,98.7746353149414,98.4269,10619.0,96.79255,1.73730003833771,99.2399978637695,38.7700004577637,88.7300033569336,1.72745001316071,29.1100006103516,0.409999996423721,11.6000003814697,31.3899993896484,89.013542175293,90.8116683959961,96.2135162353516,90.6947708129883,16.04117,4.65749979019165
LVA,2017,,11.0,98.6374206542969,99.58075,10532.0,97.10907,1.5161999464035,98.2901916503906,39.9227523803711,87.9997253417969,1.29531002044678,29.2247142791748,0.383929252624512,11.663553237915,31.7605743408203,87.6732177734375,88.6588363647461,94.3040008544922,88.6027526855469,,4.36671018600464
LVA,2018,,11.0,100.0,,10622.0,,1.1314400434494,98.3660202026367,43.5800018310547,90.3000030517578,0.978330016136169,30.0300006866455,1.11000001430511,14.6000003814697,33.0699996948242,83.1430969238281,82.2578430175781,83.8821334838867,84.5362167358398,,4.24356985092163
LVA,2019,,11.0,100.0,,10563.0,,1.17625999450684,98.3488082885742,48.3400001525879,90.9300003051758,1.74196004867554,30.9400005340576,0.474500924348831,17.0300006866455,33.9799995422363,82.9821701049805,81.3826675415039,90.2209014892578,84.8905715942383,,4.43584012985229
